OBJECTID,GPS_YEAR,PROPERTY,HOLES,ACTIVE,ASPECT,LANDUSE,VEG_TYPE,AG_LEASE,YOUNG_EMER,INFLUENCE,DENSITY,STATUS,PDOG_CAT,CATEGORY_L,REMARKS,RELOCATION,Town,Encroaching,Acreage,ShapeSTArea,ShapeSTLength
400,2001,Lohr,0,active,south,agricultural,native range,,yes, ,0,,UND,Undetermined,Lohr, ,2,,7.94411771,346045.769042969,3741.11040193669
401,2001,Lohr,0,active,varied,agricultural, ,,yes, ,0,,UND,Undetermined,Lohr, ,3,,0.69374347,30219.4655761719,1948.59714992969
402,2001,Goldens,0,active,flat, ,intro range,,yes, ,0,,UND,Undetermined,Goldens, ,0,,5.41198544,235746.086181641,3717.11291799579
403,2001,Wolf Run SW,0,active,varied, ,irrigated grass,,yes, ,0,,UND,Undetermined,Wolf Run SW, ,0,,59.10037812,2574412.47216797,13137.7872781591
404,2001,Lagerman,0,active,varied, ,native range,,yes, ,0,,UND,Undetermined,Lagerman, ,1,,20.13266285,876978.796142578,7685.62783251787
405,2001,Lagerman,0,active,varied,agricultural,irrigated grass,,yes, ,0,,UND,Undetermined,Lagerman, ,2,,14.72826925,641563.409179688,5376.35784713355
406,2001,Lagerman,0,active,east,agricultural,irrigated grass,,yes, ,0,,UND,Undetermined,Lagerman, ,3,,0.1887254,8220.87915039062,359.802407663143
407,2001,Dodd,0,active,flat,agricultural,irrigated crop,,yes, ,0,,UND,Undetermined,Dodd, ,1,,0.35841285,15612.4626464844,612.85140353277
408,2001,Niwot Meadows,0,active,varied, ,intro range,,yes, ,0,,UND,Undetermined,Niwot Meadows, ,1,,0.20854845,9084.36987304688,498.438627796758
409,2001,Wasson,0,active,north,agricultural,irrigated crop,,yes,outside town,0,,UND,Undetermined,Wasson, ,0,,2.85404811,124322.336669922,2667.0180147228
410,2004,Goldens,0,,varied,,intro range,,,,0,,MOA,Multiple Objective Areas,,no,2,none,0.25303734,11022.3071289062,556.983759342329
411,2004,Keyes,0,,varied,,intro range,,,,0,,MUL,MOA & NPD,,no,1,off of property,93.33888684,4065841.91064453,15754.1991860313
412,2004,Western Mobile,0,,varied,,irrigated grass,,,,0,,MOA,Multiple Objective Areas,,no,5,none,2.50231435,109000.813720703,1825.3997758206
413,2004,Western Mobile,0,,varied,,irrigated grass,,,,0,,MOA,Multiple Objective Areas,,no,2,none,1.79112663,78021.4777832031,2930.00729924581
414,2004,Western Mobile,0,,varied,,irrigated grass,,,,0,,MOA,Multiple Objective Areas,,no,1,none,25.54746446,1112847.55102539,12819.9354455657
415,2004,Western Mobile,0,,varied,,irrigated grass,,,,0,,MOA,Multiple Objective Areas,,no,5,none,0.08280083,3606.8046875,272.524303891306
416,2004,Western Mobile,0,,varied,,irrigated grass,,,,0,,MUL,MOA & UND,,no,4,none,28.57331991,1244653.81811523,12553.8301317326
417,2004,Alexander Dawson,0,,varied,,native range,,,,0,,NPD,No Prairie Dogs,,no,1,off of property,7.94619293,346136.163818359,3943.42283616563
418,2004,Monarch,0,,varied,,irrigated grass,,,,0,,MOA,Multiple Objective Areas,,no,6,off of property,1.82440155,79470.9321289062,1289.60946772352
419,2004,Flagg Park,0,,west,,intro range,,,,0,,MOA,Multiple Objective Areas,,yes,9,onto property,0.03382296,1473.32885742188,260.635427612077
420,2004,Flagg Park,0,,west,,native range,,,,0,,MOA,Multiple Objective Areas,,yes,5,onto property,1.22050104,53165.0256347656,1766.47389150813
421,2004,Liley,0,,varied,,dryland crop,,,,0,,NPD,No Prairie Dogs,,no,1,off of property,18.15879898,790997.284912109,4485.72402620852
422,2004,Liley,0,,varied,,dryland crop,,,,0,,NPD,No Prairie Dogs,,no,2,off of property,1.36963038,59661.1000976562,1190.3866162613
423,2004,Bush (Donald),0,,varied,,intro range,,,,0,,MOA,Multiple Objective Areas,,no,1,off of property,1.24053534,54037.7199707031,1024.9145291619
424,2004,Rock Creek Farm,0,,varied,,native range,,,,0,,MUL,HCA & MOA,,no,4,off of property,164.70175912,7174408.62744141,22420.8938551122
425,2004,Rock Creek Farm,0,,varied,,irrigated crop,,,,0,,MUL,MOA & NPD,,no,5,off of property,83.46787575,3635860.66918945,21057.0071101564
426,2004,Rock Creek Farm,0,,varied,,irrigated crop,,,,0,,MOA,Multiple Objective Areas,,no,6,off of property,5.7038235,248458.549072266,4389.57420576706
427,2005,Dowe Flats,0,,flat,,irrigated field,,,,0,,UND,Undetermined,,,1,none,0.15492519,6748.54125976562,473.596506104063
428,2005,Deberry,0,,varied,,intro range,,,,0,,UND,Undetermined,,,1,none,8.33500055,363072.624511719,5170.1270105725
429,2005,Deberry,0,,north,,intro range,,,,0,,UND,Undetermined,,,6,none,5.90822204,257362.152587891,4587.01561326484
430,2005,Deberry,0,,south,,intro range,,,,0,,UND,Undetermined,,,5,none,0.19693967,8578.6923828125,622.263620240285
431,2005,Deberry,0,,south,,intro range,,,,0,,UND,Undetermined,,,2,off of property,0.80293878,34976.0131835938,1850.82882486023
432,2005,Deberry,0,,flat,,intro range,,,,0,,UND,Undetermined,,,3,none,0.00535033,233.060791015625,69.8737161712191
433,2005,Deberry,0,,flat,,intro range,,,,0,,UND,Undetermined,,,4,none,0.18999492,8276.17846679688,570.316753792869
434,2005,Leonard (Lettie E),0,,east,,intro range,,,,0,,UND,Undetermined,,,1,none,7.66337234,333816.499511719,4457.11241597684
435,2005,Clark (C.H.),0,,flat,,irrigated crop,,,,0,,UND,Undetermined,,,1,none,0.61091352,26611.3935546875,833.505233682678
436,2005,Barrett  ll,0,,south,,dryland crop,,,,0,,UND,Undetermined,1 pdog seen,,1,none,0.07925371,3452.29174804688,276.164167993673
437,2005,IBM,0,, ,, ,,,,0,,UND,Undetermined,,,0,,0.83556041,36397.0122070312,1329.92847801759
438,2005,IBM,0,, ,, ,,,,0,,UND,Undetermined,,,0,,0.0105301,458.69091796875,97.1786177283998
439,2005,Imel,0,,varied,,intro range,,,,0,,UND,Undetermined,,,6,none,0.80223353,34945.29296875,1223.95209692019
440,2005,Imel,0,,varied,,irrigated grass,,,,0,,UND,Undetermined,,,4,none,12.75925024,555792.94140625,5815.21694453876
441,2005,Imel,0,,east,,intro range,,,,0,,UND,Undetermined,,,5,none,0.3357951,14627.2358398438,690.529554493987
442,2005,Alexander Dawson,0,,flat,,intro range,,,,0,,UND,Undetermined,,,3,none,0.01494514,651.010498046875,145.743011831985
443,2005,Alexander Dawson,0,,flat,,intro range,,,,0,,UND,Undetermined,,,2,none,1.16520209,50756.2026367188,1747.47774239858
444,2005,Anderson (Goldamay),0,,varied,,irrigated crop,,,,0,,UND,Undetermined,,,1,none,0.27640386,12040.15234375,532.937940913287
445,2005,Anderson (Goldamay),0,,flat,,irrigated crop,,,,0,,UND,Undetermined,,,2,none,0.752002,32757.2077636719,1104.5656621962
446,2005,Anderson (Goldamay),0,,flat,,irrigated crop,,,,0,,UND,Undetermined,,,3,none,0.03454044,1504.58178710938,296.279140097595
447,2005,Becky,0,,flat,,irrigated grass,,,,0,,UND,Undetermined,,,3,none,3.12584854,136161.963378906,2877.6677612461
448,1999,Scriffiny,10,active,south,other,native range,, , ,0,,UND,Undetermined,,NA,2,,0.13816671,6018.54052734375,332.503540284557
449,1999,Hodgson Harris,50,active,varied,other,intro range,, ,into town,0,,UND,Undetermined,"ABOVE.RES,.NO.NEG.IMPCT",NA,1,,1.06279074,46295.1652832031,2017.63435342256
450,1999,Hodgson-Harris,50,active,varied,other,intro range,, ,into town,0,,UND,Undetermined,LRG.TOWN.N,NA,2,,0.45421431,19785.5771484375,1784.47838247173
451,1999,66 Investments,25,active,varied,agricultural,intro range,, , ,0,,UND,Undetermined,,yes,1,,0.78007133,33979.9060058594,1369.48719950309
452,1999,Bush Cohig,10,active,west,agricultural,native range,,yes,into town,0,,UND,Undetermined,Most of town is west of fence,NA,1,,0.19407432,8453.87890625,539.046354129119
453,1999,Mayhoffer,0,active,flat,wildlife (HCA),native range,,yes,into town,0,,UND,Undetermined,RELOC.TWN,NA,1,,9.1967618,400610.946533203,6709.59921778365
454,1999,Mayhoffer,0,active,south,wildlife (HCA),intro range,,yes,into town,0,,UND,Undetermined,, ,2,,40.52728022,1765368.33007812,17421.1669148319
455,1999,Rabbit Mountain,150,active,varied,wildlife (HCA),intro range,,yes, ,0,,UND,Undetermined,HEALTHY.TOWN.NOT.TOO.DNSE,NA,2,,10.15516237,442358.879150391,5263.49235003282
456,1999, ,10,active,flat,agricultural,intro range,,no, ,0,,UND,Undetermined,,yes,0,,0.12370204,5388.46044921875,469.875821934776
457,1999, ,40,active,flat,agricultural,intro range,, , ,0,,UND,Undetermined,ONLY.1.DOG.SEEN,yes,0,,0.71975236,31352.4130859375,1551.03908919958
458,1999,Lohr,25,active,flat, ,intro range,, , ,0,,UND,Undetermined,1.DOG.SEEN, ,0,,0.2601459,11331.9560546875,862.113339917765
459,1999,Lohr,0,active,flat, ,intro range,, , ,0,,UND,Undetermined,, ,0,,0.67971649,29608.4489746094,1212.17686516459
460,1999, ,0,active,flat,agricultural,intro range,,yes, ,0,,UND,Undetermined,15.HOLES.E.OF.FNCE, ,0,,22.27334607,970226.954345703,4751.50108498502
461,1999,Hirschfeld,400,active,flat,agricultural,intro range,,yes, ,0,,UND,Undetermined,HEALTHY.SEP.FRM.#1.BY.DTCH,NA,2,,7.2541232,315989.608642578,4040.60910527177
462,1999, ,0,, , , ,, , ,0,,UND,Undetermined,, ,0,,0.54065071,23550.744140625,1127.09596812404
463,1999, ,0,active,flat,agricultural, ,,yes, ,0,,UND,Undetermined,HWK,no,0,,6.31160447,274933.493164062,7511.41881270187
464,1999,Colp,300,active,south,agricultural,intro range,,yes, ,0,,UND,Undetermined,,no,3,,18.05032303,786272.075439453,6049.08414942264
465,1999,Legion Park,300,active,north,recreation,intro range,,yes, ,0,,UND,Undetermined,,NA,1,,7.26855496,316618.253662109,4196.7181034262
466,1999,Legion Park,10,active,north,recreation,intro range,, , ,0,,UND,Undetermined,,NA,1,,0.02378394,1036.02807617188,175.647629611336
467,1999,Legion Park,150,active,north,recreation,intro range,,yes, ,0,,UND,Undetermined,SMALLER.+.LESS.DNSE,NA,2,,2.20379883,95997.4755859375,3830.35275294214
468,1999,Zaharias,40,active,flat, ,intro range,, , ,0,,UND,Undetermined,, ,1,,0.92141081,40136.6569824219,2395.97903426041
469,1999,Lindsay,250,active,south,multi-use,native range,,yes, ,0,,UND,Undetermined,,NA,1,,6.83678291,297810.263916016,3799.62865648647
470,1999,Zaharias,0,active,varied,multi-use,intro range,, , ,0,,UND,Undetermined,,NA,1,,13.36454244,582159.46875,8052.06697868861
471,1999, ,50,active,west,preserve,native range,,yes, ,0,,UND,Undetermined,,NA,0,,1.21178323,52785.2768554688,1396.19839474329
472,1999, ,0,, , , ,, , ,0,,UND,Undetermined,, ,0,,3.3051404,143971.915527344,3296.75613475339
473,1999, ,0,, , , ,, , ,0,,UND,Undetermined,LOT.OF.ELK.SCAT, ,0,,31.95348817,1391893.94458008,13165.9684239367
474,1999,Heil Ranch,30,active,varied,wildlife (HCA),intro range,,yes,no influence,0,,UND,Undetermined,,NA,0,,1.01266212,44111.5617675781,1148.24300130734
475,1999, ,0,, , , ,, , ,0,,UND,Undetermined,, ,0,,0.02444854,1064.97900390625,169.69500694073
476,1999,Heil Ranch,20,active,west, ,native range,, , ,0,,UND,Undetermined,, ,6,,0.40138396,17484.2861328125,757.153500703061
477,1999,Heil Ranch,100,active,varied,agricultural,intro range,, , ,0,,UND,Undetermined,grazing only,NA,1,,1.96584943,85632.3994140625,1917.32889911903
478,1999,other,50,active,flat,other,intro range,,yes,into town,0,,UND,Undetermined,LRG.TOWN.N.ON.PRIV,NA,1,,0.61938213,26980.2861328125,1107.66181832681
479,1999,Lagerman,100,active,flat,agricultural,intro range,, , ,0,,UND,Undetermined,VERY.LG.TWN.S.ON.PRIV,NA,1,,8.02204836,349440.427490234,6276.30034335327
480,1999,Lagerman,150,active,flat,agricultural,intro range,,yes, ,0,,UND,Undetermined,, ,2,,2.94295328,128195.041992188,6819.81978306018
481,1999,other,40,active,flat,other,intro range,, , ,0,,UND,Undetermined,habitat destroyed by new devel,NA,2,,1.75184986,76310.5817871094,2573.78070282394
482,1999,Hall Ranch,60,active,east,preserve,intro range,, , ,0,,UND,Undetermined,Extensive die-off since Spring,NA,1,,1.32741816,57822.3352050781,1980.5028255646
483,1999,Hall Ranch,25,active,varied,preserve,intro range,, , ,0,,UND,Undetermined,Mtn. Lion tracks in snow,NA,1,,0.5833149,25409.1943359375,1205.35645823221
484,1999,Hall Ranch,50,active,varied,preserve,intro range,, , ,0,,UND,Undetermined,Town size has decreased!,NA,1,,0.82099771,35762.6606445312,2643.44977647132
485,1999,Hall Ranch,5,active,south,preserve,native range,, , ,0,,UND,Undetermined,,NA,1,,0.021441,933.969482421875,164.368687379982
486,1999,Hall Ranch,30,active,varied,preserve,native range,, , ,0,,UND,Undetermined,Town size has decreased!,NA,1,,0.75429039,32856.8881835938,1485.68742405071
487,1999,Hall Ranch,15,active,east,preserve,intro range,, , ,0,,UND,Undetermined,,NA,1,,0.19639757,8555.07690429688,775.27973402371
488,1999,Hall Ranch,10,active,east,preserve,intro range,, , ,0,,UND,Undetermined,,NA,1,,0.13009498,5666.9365234375,510.806259630831
489,1999,Hall Ranch,0,active,varied,wildlife (HCA),native range,,yes, ,0,,UND,Undetermined,2 coyotes and 10 deer in town,NA,2,,43.68792162,1903045.86914062,15753.0265831131
490,1999,Rabbit Mountain,50,active,south,multi-use,native range,, , ,0,,UND,Undetermined,, ,1,,1.07386961,46777.7590332031,1448.54890940066
491,1999,Hicks,0,active,north,multi-use,native range,, , ,0,,UND,Undetermined,HVY.CTL.GRZD, ,1,,10.19394493,444048.240234375,9528.80953717863
492,1999,Hicks,0,active,flat,multi-use,native range,, , ,0,,UND,Undetermined,, ,1,,5.75341925,250618.942382812,3291.05891286516
493,1999,Brand,0,active,flat,wildlife (HCA),native range,,yes, ,0,,UND,Undetermined,,NA,1,,15.77569224,687189.155273438,8946.42846256768
494,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,31.24484648,1361025.51318359,7832.53257100043
495,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,17.33996975,755329.083740234,4897.98184216116
496,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,15.27626256,665433.996337891,6665.12399513667
497,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,2.01512761,87778.9594726562,2207.22236012892
498,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,1.82428494,79465.8527832031,2524.86434027623
499,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,45.80107773,1995094.94897461,15443.5652373838
500,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.08830257,3846.4609375,280.063441725133
501,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.11402527,4966.94067382812,417.702613844453
502,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,1.73417823,75540.8049316406,1719.50529368633
503,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.01501335,653.981689453125,117.035382232228
504,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.06300007,2744.28344726562,385.383444582315
505,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,1.63748126,71328.6843261719,1887.03932235092
506,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.01477681,643.678466796875,106.333713589336
507,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,32.00892345,1394308.70996094,7171.2476616457
508,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.02764465,1204.20092773438,145.344286467361
509,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,3.2701563,142448.005615234,2871.12072809247
510,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.25145138,10953.2216796875,533.308865158876
511,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.46923144,20439.7216796875,866.477872320684
512,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.01505317,655.7158203125,122.376236685955
513,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.04733542,2061.93090820312,242.77215130391
514,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,78.05571343,3400106.87939453,14605.0902354767
515,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,1.11531127,48582.958984375,1151.14730145697
516,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,47.93701291,2088136.28857422,9937.6061251951
517,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.0275877,1201.72021484375,181.655230227289
518,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.56923126,24795.7145996094,887.609615704584
519,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.07108234,3096.34692382812,253.082569096264
520,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.00292991,127.626953125,53.7063041082514
521,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.64729189,28196.0354003906,1409.17563864268
522,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.30863403,13444.0983886719,674.883973496257
523,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,6.69262649,291530.809082031,5197.51122129034
524,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.01286187,560.263427734375,114.238040174815
525,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,3.74198144,163000.712402344,2225.03947194024
526,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.05530618,2409.13671875,284.565809176574
527,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.0040619,176.93701171875,65.9050342942407
528,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.80979532,35274.6845703125,876.550465533441
529,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,24.08340928,1049073.30957031,4384.22746035615
530,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,10.65021239,463923.251708984,3906.25586516902
531,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,14.84449779,646626.322021484,6412.00008975508
532,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,4.15669174,181065.492675781,4197.73871916088
533,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,19.59505249,853560.483154297,8118.43782195479
534,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,2.45639958,107000.764404297,1575.96143763354
535,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,2.0777693,90507.6320800781,1446.63261397353
536,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,55.33113286,2410224.14746094,12086.0125340592
537,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,6.67827382,290905.609375,3720.10600611457
538,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,22.03893184,960015.871826172,5619.25726995842
539,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,69.60542555,3032012.33886719,9915.39119915653
540,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.02550144,1110.84326171875,149.942081855405
541,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,126.73316433,5520496.6418457,10435.7722628178
542,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,2.94292893,128193.985107422,2857.56664108291
543,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,103.67643832,4516145.65161133,13658.1734692377
544,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,12.36627926,538675.124267578,5055.50923789635
545,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,19.81357892,863079.499755859,6322.43139972635
546,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.23514547,10242.9372558594,488.745195816279
547,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.00333697,145.359130859375,55.1323670916932
548,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,44.87391044,1954707.54101562,7040.29837489436
549,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,6.49086034,282741.876220703,3883.2518951679
550,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,5.01224584,218333.431396484,3932.01780425193
551,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,3.25034815,141585.164550781,3270.98704620291
552,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,1.51425684,65961.0283203125,1191.39771909006
553,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.77528175,33771.2739257812,1409.01742388395
554,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.48585027,21163.6374511719,972.925270874254
555,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,74.73168226,3255312.0793457,17744.668949792
556,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,20.45800045,891150.497802734,7135.88138776261
557,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,1.57229837,68489.3188476562,1347.48108889023
558,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,2.82249375,122947.828613281,1855.35689962013
559,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,14.15363128,616532.177734375,5397.55752870021
560,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,33.55280159,1461560.03466797,7257.49183970891
561,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,13.20040833,575009.790527344,7181.53007410691
562,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,0.52026869,22662.9055175781,765.509598991595
563,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.81047393,35304.2451171875,905.712870366101
564,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.26306288,11459.0197753906,740.146426467467
565,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.0054576,237.7333984375,79.9142861578509
566,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,11.78534076,513369.445068359,3993.27903212445
567,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.04205226,1831.79663085938,229.907009912488
568,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,11.53820811,502604.343017578,5270.05735943767
569,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,1.27758628,55651.6594238281,1925.24530673543
570,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,1.07199874,46696.2653808594,1600.54509756346
571,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,5.70920752,248693.080322266,3533.92897377995
572,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,2.27659655,99168.546875,1705.26054170385
573,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,24.18493745,1053495.87646484,5593.80920160241
574,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,2.52473309,109977.373535156,1871.32400582835
575,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,1.4933689,65051.1484375,1643.40305762219
576,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,6.12854325,266959.342529297,3360.50510560245
577,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.0040368,175.84326171875,69.87255781225
578,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,32.20275965,1402752.21508789,6168.60176186592
579,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.06627204,2886.810546875,246.991540970251
580,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.8361775,36423.892578125,1795.25631968329
581,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.72866199,31740.5166015625,956.832081482092
582,2000,,0,,,,,,,,0,1998 Management Plan,NPD,No Prairie Dogs, ,,0,,0.02764171,1204.07299804688,163.686577892215
583,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,12.45863353,542698.077148438,5101.57416908737
584,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,25.25333073,1100035.08789062,8161.39207903365
585,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,0.25960142,11308.23828125,594.662202127468
586,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,7.30946939,318400.485839844,4255.80429150046
587,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,0.51912318,22613.0046386719,767.749253304031
588,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,3.98754256,173697.353027344,3957.93650191609
589,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,12.60053137,548879.147705078,3582.6364456318
590,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.23150794,10084.4860839844,439.323322413101
591,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,0.04969478,2164.705078125,262.287827635693
592,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,3.19831745,139318.708984375,2301.68725729392
593,2000,,0,,,,,,,,0,1998 Management Plan,MOA,Multiple Objective Areas, ,,0,,24.53714873,1068838.19921875,8182.2115247694
594,2000,,0,,,,,,,,0,1998 Management Plan,HCA,Habitat Conservation Area, ,,0,,4.59923599,200342.719970703,2300.19944310556
